AA	Altezas
abr	abreviatura
abrev	abreviação
abs	absoluto
adit	aditivo
adj	adjetivo
adm	administração
adv	advérbio
advers	adversativo
af	africano
afr	africano
ag	agrícola
al	outros
alm	almirante
alt	alternativo
amer	americano
anal	analogia
ant	antigo
anton	antonomásia
antr	antropônimo
antrop	antropologia
antropon	antroponímico
ap	apartamento
apass	apassivador
aport	aportuguesado
aprox	aproximadamente
apto	apartamento
ár	árabe
aráb	arábico
arc	arcaico
arceb	arcebispo
arcip	arcipreste
aritm	aritmética
arq	arquivo
art	artigo
artesan	artesanato
artilh	artilharia
artíst	artístico
ass	assinado
assoc	associação
ast	asturiano
astr	astronomia
astron	astronomia
astronáut	astronáutica
at	ativo
át	átono
atl	atletismo
atôm	atômico
aum	aumentativo
autom	automobilismo
aux	auxiliar
av	avenida
Av	avenida	
aven	avenida
aviaç	aviação
b	baixo
bact	bacteriologia
bacter	bacteriologia
bal	balística
balíst	balística
bált	báltico
bárb	bárbaro
basq	basquetebol
beng	bengali
berb	berbere
bíb	bíblico
bíbl	bíblico
bibl	biblioteca
bibliof	bibliofilia
bibliog	bibliografia
bibliogr	bibliografia
bibliol	bibliologia
bibliôn	bibliônimo
bibliot	biblioteca
biblog	bibliografia
biblol	bibliologia
biblon	biblionímia
bim	bimensal
biodim	biodinâmica
biofís	biofísica
biogên	biogênese
biogen	biogenético
biogeo	biogeografia
biogeog	biogeografia
biogeogr	biogeografia
biogr	biografia
biol	biologia
biom	biometria
bioq	bioquímica
bioquím	bioquímica
biot	biotaxia
biotip	biotipologia
biotipol	biotipologia
birm	birmanês
birrel	birrelativo
bisp	bispado
bispd	bispado
bitr	bitransitivo
bitrans	bitransitivo
biz	bizantino
bm	baixa-mar
boêm	boêmio
bol	boletim
boliv	boliviano
bomb	bombeiros
bor	boreal
bord	bordado
borg	borguinhão
bot	botânica
br	brasileiro
Bras	Brasil
bras	brasileiro
bret	bretão
Brig	brigadeiro
brig	brigadeiro
brit	britânico
brom	bromatologia
bromat	bromatologia
btl	batalhão
bud	budismo
búlg	búlgaro
bur	burocracia
burl	burlesco
buroc	burocracia
c	cerca
C	Cristo
c-alm	contra-almirante
C-Alm	contra-almirante
c-riq	costa-riquenho
cab	cabala
cabo-verd	caboverdianismo
cálc	cálculo
calcog	calcografia
cald	caldeu
calig	caligrafia
caligr	caligrafia
calorim	calorimetria
calv	calvinismo
calvin	calvinismo
câm	câmara
can	canadense
can	canônico
canad	canadense
canaliz	canalização
cant	cantão
cap	capítulo
Cap-ten	capitão-tenente
cap-ten	capitão-tenente
capac	capacidade
capit	capitalismo
capix	capixaba
caps	capítulos
capt	capitão
card	cardeal
card	cardinal
Carid	Caridade
cart	cartografia
cart	cartonado
cartogr	cartografia
cast	castelhano
casuís	casuística
casuíst	casuística
cat	catalão
cat	caterva
cat	católico
catacr	catacrese
catal	catálise
catar	catarinense
catarin	catarinense
categ	categoria
Catol	catolicismo
catól	católico
Catolic	catolicismo
catóp	catóptrica
catópt	catóptrica
caus	causal
causalid	causalidade
cav	cavalaria
cc	comarca
CC	Cristianíssimas
cear	cearense
celt	celta
célt	céltico
cên	cênico
cenog	cenografia
cent	centavo
cênt	cêntimo
centr	central
cer	cerâmica
cerâm	cerâmica
cerv	cervejaria
cest	cestaria
cf	conferir
cfr	conferir
cg	centigrama
cgf	centigrama-força
cgr	centígrado
chanc	chancelaria
chancel	chancelaria
chap	chapelaria
chapel	chapelaria
chil	chileno
chin	chinês
chul	chulo
Cia	companhia
ciber	cibernética
cibern	cibernética
cicl	ciclismo
cid	cidade
cien	científico
ciênc	ciência
cient	científico
cig	cigano
cin	cinegética
cineg	cinegética
cinem	cinematografia
cinematogr	cinematografia
cing	cingalês
cinol	cinologia
cinz	cinzelaria
cir	cirurgia
circ	circense
círc	círculo
circunscr	circunscrição
cirurg	cirurgia
cit	citação
citol	citologia
civ	civil
cl	centilitro
clas	classicismo
clás	clássico
cláss	clássico
clich	clicheria
clim	climatologia
climatol	climatologia
clín	clínica
cm	centímetro
cob	cobertura
cód	código
cogn	cognome
col	coleção
colet	coletivo
colomb	colombiano
cols	colunas
com	comercial
comb	combinação
combin	combinação
comdor	comendador
comend	comendador
comerc	comercial
comp	comparativo
compar	comparativo
compl	complemento
compr	comprimento
comte	comandante
comunic	comunicação
côn	cônego
conc	concani
conc	concessivo
conces	concessivo
concess	concessiva
concl	conclusivo
concr	concreta
concret	concretismo
cond	condicional
cond	condicional
cond	condutor
condic	condicional
conf	conferência
conf	conformativa
Confed	confederação
confed	confederação
confeit	confeitaria
confl	confluência
confls	confluências
cong	conguês
conhec	conhecimento
conj	conjugação
conjug	conjugação
conq	conquiliologia
conquil	conquiliologia
conquiliol	conquiliologia
cons	consecutivo
cons	conselheiro
cons	consuetudinário
consec	consecutivo
consel	conselheiro
conselh	conselheiro
conseq	consequente
const	constitucional
Const	constituição
const	constituição
constel	constelação
constr	construção
constta	constitucionalista
consuet	consuetudinário
cont	contabilidade
cont	contemporâneo
contab	contabilidade
contemp	contemporâneo
contemp	contemporâneo
contr	contrário
coord	coordenativo
cop	copulativo
copul	copulativo
copulat	copulativo
coreog	coreografia
coreogr	coreografia
corog	corografia
corogr	corografia
corp	corporativo
corr	correção
correi	correição
corresp	correspondência
corrup	corruptela
corrupt	corruptela
corrut	corrutela
cos	co-seno
cos	co-seno
cosec	co-secante
cosm	cosmetologia
cosmog	cosmografia
cosmol	cosmologia
cost	costura
costa-ric	costa-ricense
costa-riq	costa-riquenho
cot	co-tangente
côv	côvado
cp	comparar
créd	crédito
cresc	crescente
crim	criminal
crim	criminologia
criminol	criminologia
cript	criptônimo
criptog	criptografia
crist	cristalografia
cristal	cristalografia
cristalogr	cristalografia
cristand	cristandade
cristian	cristianismo
crôn	crônica
cron	cronologia
cronol	cronologia
cronom	cronometria
cronôn	cronônimo
crust	crustáceo
ctv	centavo
cul	culinária
culin	culinária
cult	cultura
cut	cutelaria
cutel	cutelaria
cv	centavo
cvs	centavos
Cx	caixa
cx	caixa
d	depois
D	dom
Da	dona
dactilog	dactilografia
dactilogr	dactilografia
dactilos	dactiloscopia
dactilosc	dactiloscopia
dad	dadaísmo
dag	decagrama
